m,n,p,iterations,#fg,f,,Message,,,,,,
10,2,1.5,3,3,81,0,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
20,2,1.5,3,3,81,0,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
5,4,1.5,26,50,1032.3193290982,3.20288025840549E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
10,4,1.5,33,49,1032.3193290982,4.78466031124155E-010,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
20,4,1.5,32,49,1032.3193290982,5.49543614393804E-010,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
5,6,1.5,26,58,1983.63883623,3.88337427370441E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,3,
10,6,1.5,25,54,1983.63883623,6.53339965618028E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,3,
20,6,1.5,36,54,1983.63883623,0.000000165,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,3,
5,8,1.5,28,62,2934.9583433619,3.35575107201434E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4,
10,8,1.5,25,51,2934.9583433619,4.91009551012353E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4,
20,8,1.5,21,51,2934.9583433619,6.94127776743514E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4,
5,10,1.5,39,72,3886.2778504938,9.00337862498119E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,5,
10,10,1.5,29,57,3886.2778504938,0.000000061,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,5,
20,10,1.5,27,54,3886.2778504938,5.49907507411152E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,5,
5,20,1.5,28,467,8642.8753861531,2.56445535981858E-005,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
10,20,1.5,38,53,8642.8753861531,2.84145454375171E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,10,
20,20,1.5,23,53,8642.8753861531,4.46933249850133E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,10,
5,50,1.5,30,210,22912.6679931311,1.8343646764564E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,25,
10,50,1.5,29,67,22912.6679931312,9.22441963677716E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,25,
20,50,1.5,26,50,22912.6679931311,4.3769234633241E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,25,
5,100,1.5,37,84,46695.6556714279,2.57779799777286E-012,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,50,
10,100,1.5,26,261,46695.6556714278,0.000006375,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
20,100,1.5,43,72,46695.6556714279,5.68181415141783E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,50,
5,200,1.5,29,68,94261.6310280216,7.52108779259862E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,100,
10,200,1.5,30,59,94261.6310280212,9.68905259084065E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,100,
20,200,1.5,26,66,94261.6310280211,9.95308181773231E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,100,
5,1000,1.5,23,328,474789.433880759,6.60058497073256E-005,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
10,1000,1.5,25,69,474789.433880759,8.36080538798449E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,500,
20,1000,1.5,17,260,474789.433880763,0.0025265286,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
5,5000,1.5,25,59,2377428.44814441,4.08649972280044E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2500,
10,5000,1.5,22,72,2377428.44814441,2.42228581914293E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2500,
20,5000,1.5,23,51,2377428.44814441,1.71314031522445E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2500,
5,10000,1.5,34,533,4755727.21597368,7.40963926785122E-005,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
10,10000,1.5,27,350,4755727.21597368,0.0001130082,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
20,10000,1.5,25,241,4755727.21597368,6.99971420044946E-006,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
5,2,1.1,3,3,81,0,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
10,2,1.1,3,3,81,0,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
20,2,1.1,3,3,81,0,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
5,4,1.1,14,41,234.0029308276,6.26380689539019E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,1,
10,4,1.1,17,45,233.9851539057,2.99165723860462E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,1,
20,4,1.1,17,45,233.9851539055,2.99170453854636E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,1,
5,6,1.1,25,67,386.9701527656,2.34265209698472E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
10,6,1.1,27,67,386.9701919671,4.26852949623552E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
